GO:ID;Go term;Number of hits;Expected number of hits;Go level;P-value;Corrected p-value;Aspect
GO:0008152;metabolic process;6;2.936422;2;0.0289484527892612;1;BP
GO:0006139;nucleobase-containing compound metabolic process;2;0.4055548;5;0.00791412308591386;1;BP
GO:0006351;transcription, DNA-templated;2;0.1591418;7;0.000538613874946925;1;BP
GO:0006725;cellular aromatic compound metabolic process;2;0.415822;4;0.00847528484962273;1;BP
GO:0006807;nitrogen compound metabolic process;2;1.103725;3;0.0993506160766138;1;BP
GO:0008150;biological_process;13;11.82269;1;0.295636035676817;1;BP
GO:0009058;biosynthetic process;2;0.6827695;3;0.0314086266372583;1;BP
GO:0009059;macromolecule biosynthetic process;2;0.2258786;5;0.00151110411605569;1;BP
GO:0009987;cellular process;12;5.395419;2;0.00321153341736424;1;BP
GO:0010467;gene expression;2;0.3285507;5;0.00441002986789744;1;BP
GO:0016070;RNA metabolic process;2;0.3696196;6;0.00612669010383896;1;BP
GO:0018130;heterocycle biosynthetic process;2;0.1848098;5;0.000839568856542844;1;BP
GO:0019438;aromatic compound biosynthetic process;2;0.1848098;5;0.000839568856542844;1;BP
GO:0032774;RNA biosynthetic process;2;0.1745426;6;0.000708964349625929;1;BP
GO:0034641;cellular nitrogen compound metabolic process;2;0.4620245;4;0.0112853805928664;1;BP
GO:0034645;cellular macromolecule biosynthetic process;2;0.2104778;6;0.00123008610577719;1;BP
GO:0034654;nucleobase-containing compound biosynthetic process;2;0.1745426;6;0.000708964349625929;1;BP
GO:0043170;macromolecule metabolic process;4;1.473345;4;0.0166326658678447;1;BP
GO:0044237;cellular metabolic process;5;2.038041;3;0.0171017416454884;1;BP
GO:0044238;primary metabolic process;4;1.976438;3;0.0491883229257955;1;BP
GO:0044249;cellular biosynthetic process;2;0.5082269;4;0.014571919762595;1;BP
GO:0044260;cellular macromolecule metabolic process;4;1.406608;5;0.0138811765910853;1;BP
GO:0044271;cellular nitrogen compound biosynthetic process;2;0.2258786;5;0.00151110411605569;1;BP
GO:0046483;heterocycle metabolic process;2;0.415822;4;0.00847528484962273;1;BP
GO:0050789;regulation of biological process;2;3.7732;3;0.730320816139276;1;BP
GO:0050794;regulation of cellular process;2;2.982625;4;0.575178454755029;1;BP
GO:0065007;biological regulation;2;3.95801;2;0.759427962773459;1;BP
GO:0071704;organic substance metabolic process;4;2.387126;3;0.0925050180369978;1;BP
GO:0090304;nucleic acid metabolic process;2;0.4004212;6;0.00764203479591967;1;BP
GO:0097659;nucleic acid-templated transcription;2;0.1642754;7;0.000592094161492572;1;BP
GO:1901360;organic cyclic compound metabolic process;2;0.4414901;4;0.00997839533861446;1;BP
GO:1901362;organic cyclic compound biosynthetic process;2;0.1899434;5;0.000910211610658255;1;BP
GO:1901576;organic substance biosynthetic process;2;0.5133605;4;0.0149669778420618;1;BP
GO:0016032;viral process;2;0.1283401;5;0.000281913839168066;0.5353544;BP
GO:0044403;symbiosis, encompassing mutualism through parasitism;2;0.1283401;4;0.000281913839168066;0.5353544;BP
GO:0044419;interspecies interaction between organisms;2;0.1283401;3;0.000281913839168066;0.5353544;BP
GO:0044764;multi-organism cellular process;2;0.1334737;3;0.000317483239782651;0.6029007;BP
GO:0051704;multi-organism process;2;0.3490852;2;0.00522585726495766;1;BP
GO:0044699;single-organism process;6;4.245492;2;0.134992765931215;1;BP
GO:0044763;single-organism cellular process;5;3.398447;3;0.126950223961845;1;BP
GO:0007049;cell cycle;1;0.5646966;4;0.109852116948145;1;BP
GO:0051301;cell division;1;0.1283401;4;0.00727784361807811;1;BP
GO:0009653;anatomical structure morphogenesis;1;0.08213769;3;0.00300073815065193;1;BP
GO:0048646;anatomical structure formation involved in morphogenesis;1;0.04106884;3;0.00071936376276574;1;BP
GO:0030154;cell differentiation;1;0.3028827;5;0.0370546964779971;1;BP
GO:0032502;developmental process;1;0.9035145;2;0.228624608844528;1;BP
GO:0043934;sporulation;1;0.01540082;4;7.83918848197732e-05;0.1488662;BP
GO:0044767;single-organism developmental process;1;0.75464;3;0.174604925137145;1;BP
GO:0048856;anatomical structure development;1;0.7187048;3;0.161891128941019;1;BP
GO:0048869;cellular developmental process;1;0.3234171;4;0.0417391860933253;1;BP
GO:0030435;sporulation resulting in formation of a cellular spore;1;0.01540082;6;7.83918848197732e-05;0.1488662;BP
GO:0006793;phosphorus metabolic process;3;0.9651178;4;0.016341055283713;1;BP
GO:0006796;phosphate-containing compound metabolic process;3;0.9651178;5;0.016341055283713;1;BP
GO:0016311;dephosphorylation;3;0.7341056;6;0.0064612502576368;1;BP
GO:0006464;cellular protein modification process;2;0.9137818;7;0.0642482722275051;1;BP
GO:0019538;protein metabolic process;2;1.047255;5;0.0882263753227796;1;BP
GO:0036211;protein modification process;2;0.9137818;6;0.0642482722275051;1;BP
GO:0043412;macromolecule modification;2;1.001053;5;0.0795452817038855;1;BP
GO:0044267;cellular protein metabolic process;2;1.01132;6;0.0814406318269218;1;BP
GO:0044710;single-organism metabolic process;1;0.6930367;3;0.152919463311995;1;BP
GO:0055114;oxidation-reduction process;1;0.1642754;4;0.0117532359936182;1;BP
GO:0006915;apoptotic process;2;0.2002106;6;0.00106254592647395;1;BP
GO:0008219;cell death;2;0.2258786;4;0.00151110411605569;1;BP
