GO:ID;Go term;Number of hits;Expected number of hits;Go level;P-value;Corrected p-value;Aspect
GO:0008152;metabolic process;2;1.329281;2;0.148569385734993;1;BP
GO:0006139;nucleobase-containing compound metabolic process;2;0.2658561;5;0.00241919929424088;1;BP
GO:0006351;transcription, DNA-templated;2;0.1375118;7;0.000349549112383601;0.6358298;BP
GO:0006725;cellular aromatic compound metabolic process;2;0.2750236;4;0.00266512508329008;1;BP
GO:0006807;nitrogen compound metabolic process;2;0.5408797;3;0.0171561347195367;1;BP
GO:0008150;biological_process;8;7.856507;1;0.386745009844001;1;BP
GO:0009058;biosynthetic process;2;0.3529469;3;0.00538392840178453;1;BP
GO:0009059;macromolecule biosynthetic process;2;0.183349;5;0.000822609880817503;1;BP
GO:0009987;cellular process;8;4.024512;2;0.0201116177212208;1;BP
GO:0010467;gene expression;2;0.2750236;5;0.00266512508329008;1;BP
GO:0016070;RNA metabolic process;2;0.2429375;6;0.00186754730970782;1;BP
GO:0018130;heterocycle biosynthetic process;2;0.1558467;5;0.00050833740543895;0.9246657;BP
GO:0019438;aromatic compound biosynthetic process;2;0.1558467;5;0.00050833740543895;0.9246657;BP
GO:0034641;cellular nitrogen compound metabolic process;2;0.3071097;4;0.00364500102660841;1;BP
GO:0034654;nucleobase-containing compound biosynthetic process;2;0.1466792;6;0.000424182163633266;0.7715874;BP
GO:0043170;macromolecule metabolic process;2;0.770066;4;0.0423655509929639;1;BP
GO:0044237;cellular metabolic process;2;0.9396639;3;0.0685098591705979;1;BP
GO:0044238;primary metabolic process;2;0.870908;3;0.0571837690945502;1;BP
GO:0044249;cellular biosynthetic process;2;0.3025259;4;0.00349339523709072;1;BP
GO:0044260;cellular macromolecule metabolic process;2;0.7425636;5;0.03870949572768;1;BP
GO:0044271;cellular nitrogen compound biosynthetic process;2;0.183349;5;0.000822609880817503;1;BP
GO:0046483;heterocycle metabolic process;2;0.2750236;4;0.00266512508329008;1;BP
GO:0050789;regulation of biological process;2;2.864829;3;0.548390666886537;1;BP
GO:0050794;regulation of cellular process;2;2.168102;4;0.369162640699249;1;BP
GO:0065007;biological regulation;2;3.006924;2;0.581298408076566;1;BP
GO:0044403;symbiosis, encompassing mutualism through parasitism;1;0.3804493;4;0.0557975839109295;1;BP
GO:0044419;interspecies interaction between organisms;1;0.3804493;3;0.0557975839109295;1;BP
GO:0051704;multi-organism process;1;0.5546309;2;0.106589520106289;1;BP
GO:0007049;cell cycle;1;0.4492052;4;0.0745929625926795;1;BP
GO:0051301;cell division;1;0.1100094;4;0.00538950894084093;1;BP
GO:0009653;anatomical structure morphogenesis;1;0.06875589;3;0.0021064505041345;1;BP
GO:0030154;cell differentiation;1;0.2566887;5;0.0273397133766173;1;BP
GO:0032502;developmental process;1;0.7471474;2;0.171897940202315;1;BP
GO:0048869;cellular developmental process;1;0.2750236;4;0.0310534691657144;1;BP
GO:0030435;sporulation resulting in formation of a cellular spore;1;0.01375118;6;6.2398085109501e-05;0.1135021;BP
GO:0008219;cell death;2;0.1787653;4;0.000763464447495772;1;BP
GO:0044003;modification by symbiont of host morphology or physiology;1;0.01375118;5;6.2398085109501e-05;0.1135021;BP
GO:0044068;modulation by symbiont of host cellular process;1;0.01375118;6;6.2398085109501e-05;0.1135021;BP
GO:0051701;interaction with host;1;0.02750236;4;0.000309181122877641;0.5624005;BP
GO:0051817;modification of morphology or physiology of other organism involved in symbiotic interaction;1;0.01375118;4;6.2398085109501e-05;0.1135021;BP
GO:0052040;modulation by symbiont of host programmed cell death;1;0.004583726;7;0;0;BP
